clip_id,label,label_id,source,split
0,adult,1,5895-34629-0009.flac,train
1,adult,1,2277-149874-0006.flac,train
2,noise,2,2-128465-B-43.wav,val
3,child,0,the_fish_is_in_the_pond.wav,train
4,noise,2,2-117616-A-48.wav,train
5,child,0,the_dog_is_on_top_of_the_shed.wav,val
6,noise,2,2-68595-B-15.wav,val
7,adult,1,5536-43363-0008.flac,train
8,child,0,the_fish_is_in_the_pond.wav,train
9,noise,2,2-43806-A-42.wav,train
10,child,0,and he licked on him.wav,val
11,adult,1,7976-105575-0006.flac,test
12,child,0,the_dog_is_in_front_of_the_horse.wav,train
13,child,0,the_horse_is_next_to_the_stable.wav,train
14,noise,2,4-161105-A-47.wav,train
15,noise,2,5-187444-A-33.wav,train
16,child,0,and then they found one and they came .wav,train
17,noise,2,1-24076-A-43.wav,train
18,adult,1,5694-64029-0007.flac,train
19,noise,2,5-179294-A-46.wav,val
20,adult,1,2428-83705-0018.flac,val
21,adult,1,1272-128104-0000.flac,train
22,noise,2,4-196672-A-8.wav,train
23,adult,1,3853-163249-0042.flac,val
24,adult,1,2803-154328-0023.flac,train
25,child,0,the boy is putting the his hands on his nose .wav,train
26,adult,1,5338-284437-0029.flac,train
27,adult,1,2428-83699-0030.flac,train
28,noise,2,2-107351-A-20.wav,train
29,child,0,and then they saw two frogs.wav,test
30,adult,1,3752-4944-0055.flac,train
31,noise,2,1-19118-A-24.wav,train
32,child,0,port.wav,train
33,adult,1,3081-166546-0079.flac,test
34,child,0,finally though they found the the frog they needed.wav,train
35,child,0,with a the pot on his head.wav,train
36,adult,1,422-122949-0017.flac,train
37,adult,1,1988-147956-0025.flac,val
38,child,0,the_dog_is_in_front_of_the_house.wav,train
39,child,0,the_horse_is_next_to_the_stable.wav,val
40,noise,2,3-145577-A-43.wav,test
41,adult,1,6241-61943-0017.flac,train
42,noise,2,4-167063-A-11.wav,train
43,noise,2,5-210612-A-37.wav,val
44,noise,2,4-212698-A-39.wav,train
45,adult,1,2035-147961-0038.flac,test
46,child,0,the boy looked down the hole .wav,test
47,noise,2,3-144128-A-23.wav,test
48,adult,1,2412-153954-0017.flac,test
49,noise,2,4-135439-A-18.wav,train
50,child,0,the_dog_is_on_top_of_the_shed.wav,train
51,noise,2,2-108017-A-24.wav,train
52,noise,2,5-232816-A-23.wav,val
53,noise,2,3-151269-A-35.wav,test
54,noise,2,5-236288-A-28.wav,train
55,adult,1,2086-149220-0004.flac,train
56,child,0,the_horse_is_behind_the_car.wav,train
57,adult,1,7850-73752-0014.flac,val
58,child,0,the_dog_is_in_front_of_the_horse.wav,train
59,noise,2,1-47250-B-41.wav,train
60,adult,1,3853-163249-0048.flac,train
61,child,0,the_fish_is_in_the_pond.wav,train
62,noise,2,2-106073-A-36.wav,train
63,child,0,the boy went comes out of bed.wav,train
64,noise,2,2-209476-A-25.wav,train
65,noise,2,1-23094-A-15.wav,train
66,child,0,four.wav,val
67,adult,1,1272-135031-0020.flac,train
68,noise,2,2-102852-A-11.wav,train
69,child,0,nine.wav,val
70,child,0,and he saw that the frog was gone.wav,train
71,child,0,studio.wav,test
72,child,0,port.wav,train
73,noise,2,5-200329-B-8.wav,train
74,child,0,and the kid jumped out of the window after him .wav,train
75,adult,1,2412-153954-0021.flac,train
76,noise,2,4-150364-B-46.wav,val
77,child,0,when they get dressed they look for the frog .wav,train
78,adult,1,3576-138058-0027.flac,train
79,noise,2,5-200329-C-8.wav,train
80,noise,2,5-222041-A-9.wav,train
81,noise,2,2-87780-A-33.wav,train
82,noise,2,2-68391-B-41.wav,train
83,child,0,the_dog_is_on_top_of_the_shed.wav,train
84,child,0,they was calling the dog again the frog.wav,train
85,adult,1,1462-170142-0024.flac,train
86,child,0,the_fish_is_in_the_pond.wav,train
87,noise,2,4-147657-A-46.wav,train
88,child,0,and then they came over something.wav,train
89,adult,1,2035-152373-0007.flac,val
90,child,0,six.wav,train
